img,numero,descripcion,voltaje,campos,equipo
campo-1,5,FIAT TIPO con motores 1.4 y 1.6 - RENAULT 9-11-12-21 - TRAFIC con escobillas,12 Volts,4 Campos,ARGELITE-URUGUAY
campo-2,50,DODGE camion 8 cilindros D100 - 400 - 700 - 900. 3 campos de planchuela y 1 auxiliar. Código 9.001.453.474 - 203 - 01.,12 Volts,4 Campos,ARGELITE-URUGUAY
campo-3,500,DODGE POLARA Modelo 57. 3 campos de planchuela y 1 auxiliar.,12 Volts,4 Campos,AUTOLITE-CHRYSLER
campo-4,505,DODGE 57 (3 campos de planchuela y 1 auxiliar),12 Volts,4 Campos,CHRYSLER
campo-5,510,ALFA ROMEO - BMW LARGO. Código 001.311.042. Con escobillas.,12 Volts,4 Campos,BOSCH
campo-6,515,ALFA ROMEO - BMW CORTO. Con escobillas.,12 Volts,4 Campos,BOSCH
campo-7,520,AUTO UNIÓN,6 Volts,4 Campos,BOSCH
campo-8,530,AUTO UNIÓN. Modelo OPEL K180,12 Volts,4 Campos,BOSCH
campo-9,535,AUTO UNIÓN,12 Volts,4 Campos,BOSCH
campo-10,539,BPD PRINCIPAL,24 Volts,2 Campos,BOSCH
campo-11,540,BORDWARD 2.5 Y MERCEDES BENZ 608,12 Volts,4 Campos,BOSCH
campo-12,550,BORWARD 2.5 REFORMA,24 Volts,4 Campos,BOSCH
campo-13,560,BMW CÓDIGO CORTO,12 Volts,4 Campos,BOSCH
campo-14,570,CHEVETTE Modelo 70 al 81 - GM VW - Camiones DODGE 1800 - FORD PICK UP F75 - TRUCKS JEEP MAVERICK 4 y 6 cilindros.,12 Volts,4 Campos,BOSCH
campo-15,580,CHEVETTE DIESEL,12 Volts,4 Campos,BOSCH
campo-16,590,"SCANIA VABIS - VOLVO - FIAT MWM - MBB - CATERPILLAR - ATLAS - COPCO - CUMMINS - KOMATSU - MAXION - JI CASE DELCO REMY - HEINCHEL. Con equipo ALFKB LARGO 5,5 KW. Con auxiliares internos.",24 Volts,4 Campos,BOSCH
campo-17,5000,SCANIA VABIS TURBO BR 116 - FIAT IVECO - Camiones 160 y 21. Con equipo ALFKB CORTO. Con auxiliares internos.,24 Volts,4 Campos,BOSCH
campo-18,5010,"SCANIA VABIS - VOLVO - CAMION FH 12 - FIAT IVECO. Camion EURO TRAKKER con motor 8210 42L-8210 42K 5,5KW. Con equipo ALFKB MEDIANO. Con auxiliares internos.",24 Volts,4 Campos,BOSCH
campo-19,5020,FIAT FERROCARRIL COCHE MOTOR. Con auxiliares internos.,72 Volts,6 Campos,BOSCH
campo-20,5030,FIAT 150 TURBO,24 Volts,4 Campos,BOSCH
